,c_Sport,c_Season,c_Event,c_Gender,n_DateSort,c_Person,c_PersonNatio,c_NOC,c_Result,n_ResultSort,c_Class
12724,Swimming,2018,50m Backstroke,Women,20180728,Emily Crane,Great Britain,Great Britain,29.28,29280,Elite
12734,Swimming,2018,50m Backstroke,Women,20180401,Medi Harris,Great Britain,Great Britain,29.35,29350,Elite
12735,Swimming,2018,50m Backstroke,Women,20180409,Harriet West,Wales,Great Britain,29.35,29350,Elite
12776,Swimming,2018,50m Backstroke,Women,20180301,Emily Peck,Great Britain,Great Britain,29.45,29450,Elite
12796,Swimming,2018,50m Backstroke,Women,20180523,Julia Scrivin,Great Britain,Great Britain,29.50,29500,Elite
12837,Swimming,2018,50m Backstroke,Women,20180728,Martha Duley,Great Britain,Great Britain,29.57,29570,Elite
12859,Swimming,2018,50m Backstroke,Women,20180728,Kelly Small,Great Britain,Great Britain,29.63,29630,Elite
12873,Swimming,2018,50m Backstroke,Women,20180301,Alexandra Waller,Great Britain,Great Britain,29.67,29670,Elite
12878,Swimming,2018,50m Backstroke,Women,20180609,Chloe Golding,England,Great Britain,29.68,29680,Elite
12881,Swimming,2018,50m Backstroke,Women,20180728,Charlotte Evans,Great Britain,Great Britain,29.68,29680,Elite
12899,Swimming,2018,50m Backstroke,Women,20180507,Daisy Platts,Great Britain,Great Britain,29.72,29720,Elite
12900,Swimming,2018,50m Backstroke,Women,20180301,Karen Reid,Scotland,Great Britain,29.74,29740,Elite
12902,Swimming,2018,50m Backstroke,Women,20180331,Emily Grant,Great Britain,Great Britain,29.75,29750,Elite
12918,Swimming,2018,50m Backstroke,Women,20180301,Meghan Maybanks,Great Britain,Great Britain,29.80,29800,Elite
12942,Swimming,2018,50m Backstroke,Women,20180728,Imogen Meers,Great Britain,Great Britain,29.84,29840,Elite
12948,Swimming,2018,50m Backstroke,Women,20180324,Mimi Morley Iszatt,Great Britain,Great Britain,29.85,29850,Elite
12962,Swimming,2018,50m Backstroke,Women,20180728,Caroline McIntosh,Great Britain,Great Britain,29.89,29890,Elite
12969,Swimming,2018,50m Backstroke,Women,20180325,Pia Murray,Great Britain,Great Britain,29.91,29910,Elite
12977,Swimming,2018,50m Backstroke,Women,20180728,Emily Iley,Great Britain,Great Britain,29.93,29930,Elite
12991,Swimming,2018,50m Backstroke,Women,20180728,Chiara Tommasello,Great Britain,Great Britain,29.95,29950,Elite
12995,Swimming,2018,50m Backstroke,Women,20180507,Charlotte Fletcher-Stables,Great Britain,Great Britain,29.96,29960,Elite
13008,Swimming,2018,50m Breaststroke,Men,20180808,Adam Peaty,England,Great Britain,26.09,26090,Elite
13037,Swimming,2018,50m Breaststroke,Men,20180807,Ross Murdoch,Scotland,Great Britain,27.27,27270,Elite
13040,Swimming,2018,50m Breaststroke,Men,20180414,Lawrence Palmer,Great Britain,Great Britain,27.31,27310,Elite
13043,Swimming,2018,50m Breaststroke,Men,20180725,Craig Benson,Scotland,Great Britain,27.33,27330,Elite
13048,Swimming,2018,50m Breaststroke,Men,20180409,James Wilby,England,Great Britain,27.37,27370,Elite
13080,Swimming,2018,50m Breaststroke,Men,20180415,Zak Aitchison,Great Britain,Great Britain,27.65,27650,Elite
13108,Swimming,2018,50m Breaststroke,Men,20180408,Euan Inglis,Great Britain,Great Britain,27.84,27840,Elite
13129,Swimming,2018,50m Breaststroke,Men,20180725,David Murphy,Great Britain,Great Britain,27.99,27990,Elite
13134,Swimming,2018,50m Breaststroke,Men,20180324,Stephenson Lewis Clifford,Great Britain,Great Britain,27.99,27990,Elite
13141,Swimming,2018,50m Breaststroke,Men,20180725,Archie Goodburn,Great Britain,Great Britain,28.04,28040,Elite
13144,Swimming,2018,50m Breaststroke,Men,20180725,George Hopkins,Great Britain,Great Britain,28.04,28040,Elite
13149,Swimming,2018,50m Breaststroke,Men,20180408,Mark Campbell,Great Britain,Great Britain,28.07,28070,Elite
13162,Swimming,2018,50m Breaststroke,Men,20180725,Gregory Butler,Great Britain,Great Britain,28.14,28140,Elite
13169,Swimming,2018,50m Breaststroke,Men,20180304,Chris Kerr,Great Britain,Great Britain,28.19,28190,Elite
13197,Swimming,2018,50m Breaststroke,Men,20180725,Marcus Gardiner,Great Britain,Great Britain,28.30,28300,Elite
13229,Swimming,2018,50m Breaststroke,Men,20180505,Oliver Crosby,Great Britain,Great Britain,28.39,28390,Elite
13231,Swimming,2018,50m Breaststroke,Men,20180610,Charlie Attwood,England,Great Britain,28.39,28390,Elite
13309,Swimming,2018,50m Breaststroke,Men,20180725,James Lewis,Great Britain,Great Britain,28.62,28620,Elite
13316,Swimming,2018,50m Breaststroke,Men,20180725,Oliver Taverner,Great Britain,Great Britain,28.64,28640,Elite
13325,Swimming,2018,50m Breaststroke,Men,20180725,Lewis Fraser,Great Britain,Great Britain,28.67,28670,Elite
13352,Swimming,2018,50m Breaststroke,Men,20180725,Kyle Boyek,Great Britain,Great Britain,28.75,28750,Elite
13408,Swimming,2018,50m Breaststroke,Men,20180725,Robert Cowley,Great Britain,Great Britain,28.90,28900,Elite
13426,Swimming,2018,50m Breaststroke,Men,20180725,David Trickett,Great Britain,Great Britain,28.94,28940,Elite
13460,Swimming,2018,50m Breaststroke,Men,20180803,Neil Redman,Great Britain,Great Britain,29.01,29010,Elite
13485,Swimming,2018,50m Breaststroke,Men,20180113,Jack Mccomish,Great Britain,Great Britain,29.06,29060,Elite
13488,Swimming,2018,50m Breaststroke,Men,20180725,Richard Ayre,Great Britain,Great Britain,29.06,29060,Elite
13500,Swimming,2018,50m Breaststroke,Women,20180808,Imogen Clark,Great Britain,Great Britain,30.04,30040,Elite
13509,Swimming,2018,50m Breaststroke,Women,20180406,Sarah Vasey,England,Great Britain,30.60,30600,Elite
13538,Swimming,2018,50m Breaststroke,Women,20180724,Katie Matts,Great Britain,Great Britain,31.20,31200,Elite
13542,Swimming,2018,50m Breaststroke,Women,20180405,Chloe Tutton,Wales,Great Britain,31.24,31240,Elite
13547,Swimming,2018,50m Breaststroke,Women,20180724,Beth Aitchison,Great Britain,Great Britain,31.27,31270,Elite
13549,Swimming,2018,50m Breaststroke,Women,20180704,Tatiana Belonogoff,Great Britain,Great Britain,31.29,31290,Elite
13553,Swimming,2018,50m Breaststroke,Women,20180630,Siobhan-Marie O'Connor,England,Great Britain,31.29,31290,Elite
13554,Swimming,2018,50m Breaststroke,Women,20180405,Corrie Scott,Scotland,Great Britain,31.33,31330,Elite
13581,Swimming,2018,50m Breaststroke,Women,20180204,Jocelyn Ulyett,England,Great Britain,31.59,31590,Elite
13586,Swimming,2018,50m Breaststroke,Women,20180704,Katie Robertson,Great Britain,Great Britain,31.68,31680,Elite
13589,Swimming,2018,50m Breaststroke,Women,20180724,Kara Hanlon,Great Britain,Great Britain,31.69,31690,Elite
13628,Swimming,2018,50m Breaststroke,Women,20180406,Megan Morrison,Great Britain,Great Britain,31.98,31980,Elite
13629,Swimming,2018,50m Breaststroke,Women,20180405,Laura Kinley,Isle of Man,Great Britain,31.99,31990,Elite
13639,Swimming,2018,50m Breaststroke,Women,20180724,Annabel Guye-Johnson,Great Britain,Great Britain,32.00,32009,Elite
13654,Swimming,2018,50m Breaststroke,Women,20180309,Carmella Kitching,Great Britain,Great Britain,32.09,32090,Elite
13659,Swimming,2018,50m Breaststroke,Women,20180724,Grace Gilroy,Great Britain,Great Britain,32.11,32119,Elite
13670,Swimming,2018,50m Breaststroke,Women,20180405,Molly Renshaw,England,Great Britain,32.18,32180,Elite
13681,Swimming,2018,50m Breaststroke,Women,20180704,Angharad Evans,Great Britain,Great Britain,32.22,32229,Elite
13693,Swimming,2018,50m Breaststroke,Women,20180724,Jemimah Berkeley,Great Britain,Great Britain,32.28,32280,Elite
13708,Swimming,2018,50m Breaststroke,Women,20180724,Georgina Evans,Great Britain,Great Britain,32.33,32330,Elite
13729,Swimming,2018,50m Breaststroke,Women,20180506,Rachel Taylor,Great Britain,Great Britain,32.43,32439,Elite
13733,Swimming,2018,50m Breaststroke,Women,20180724,Georgina Heyn,Great Britain,Great Britain,32.47,32479,Elite
13749,Swimming,2018,50m Breaststroke,Women,20180724,Illizane Pinfold,Great Britain,Great Britain,32.54,32540,Elite
13774,Swimming,2018,50m Breaststroke,Women,20180724,Anna Leman,Great Britain,Great Britain,32.63,32630,Elite
13778,Swimming,2018,50m Breaststroke,Women,20180304,Rebecca Clynes,Great Britain,Great Britain,32.63,32630,Elite
13784,Swimming,2018,50m Breaststroke,Women,20180724,Kayla Van Der Merwe,Great Britain,Great Britain,32.65,32650,Elite
13814,Swimming,2018,50m Breaststroke,Women,20180405,Niamh Robinson,Isle of Man,Great Britain,32.77,32770,Elite
13824,Swimming,2018,50m Breaststroke,Women,20180724,Lucia Grant,Great Britain,Great Britain,32.80,32800,Elite
13857,Swimming,2018,50m Breaststroke,Women,20180724,Katie Goodburn,Great Britain,Great Britain,32.91,32910,Elite
13860,Swimming,2018,50m Breaststroke,Women,20180405,Bethan Sloan,Wales,Great Britain,32.91,32910,Elite
13865,Swimming,2018,50m Breaststroke,Women,20180724,Ashley Ransome,Great Britain,Great Britain,32.94,32940,Elite
13877,Swimming,2018,50m Breaststroke,Women,20180328,Jasmin Smith,Great Britain,Great Britain,32.96,32960,Elite
13879,Swimming,2018,50m Breaststroke,Women,20180506,Stella Cookson,Great Britain,Great Britain,32.97,32970,Elite
13915,Swimming,2018,50m Breaststroke,Women,20180724,Morgan Penney,Great Britain,Great Britain,33.07,33070,Elite
13918,Swimming,2018,50m Breaststroke,Women,20180724,Tabitha Monkhouse,Great Britain,Great Britain,33.07,33070,Elite
13939,Swimming,2018,50m Breaststroke,Women,20180724,Cira Fletcher,Great Britain,Great Britain,33.12,33120,Elite
13950,Swimming,2018,50m Breaststroke,Women,20180324,Danielle Gilbert,Great Britain,Great Britain,33.15,33150,Elite
13970,Swimming,2018,50m Breaststroke,Women,20180324,Maia Hall,Great Britain,Great Britain,33.20,33200,Elite
13989,Swimming,2018,50m Breaststroke,Women,20180506,Lily Booker,Great Britain,Great Britain,33.25,33250,Elite
13990,Swimming,2018,50m Breaststroke,Women,20180724,Jessica Gillatt,Great Britain,Great Britain,33.25,33250,Elite
13995,Swimming,2018,50m Butterfly,Men,20180807,Benjamin Proud,England,Great Britain,22.78,22780,Elite
14108,Swimming,2018,50m Butterfly,Men,20180806,Jacob Peters,England,Great Britain,23.95,23950,Elite
14126,Swimming,2018,50m Butterfly,Men,20180729,Sam Horrocks,Great Britain,Great Britain,24.04,24040,Elite
14133,Swimming,2018,50m Butterfly,Men,20180613,James Guy,England,Great Britain,24.05,24050,Elite
14201,Swimming,2018,50m Butterfly,Men,20180729,Cameron Brooks-Clarke,Great Britain,Great Britain,24.26,24260,Elite
14215,Swimming,2018,50m Butterfly,Men,20180113,Lewis Fraser,Great Britain,Great Britain,24.30,24300,Elite
14225,Swimming,2018,50m Butterfly,Men,20180405,Sean Campsie,Scotland,Great Britain,24.32,24320,Elite
14234,Swimming,2018,50m Butterfly,Men,20180729,Henry Bland,Great Britain,Great Britain,24.34,24340,Elite
14307,Swimming,2018,50m Butterfly,Men,20180405,Scott Mclay,Scotland,Great Britain,24.49,24490,Elite
14330,Swimming,2018,50m Butterfly,Men,20180127,Adam Fawl,Great Britain,Great Britain,24.54,24540,Elite
14352,Swimming,2018,50m Butterfly,Men,20180729,Oliver Maltby,Great Britain,Great Britain,24.58,24580,Elite
14365,Swimming,2018,50m Butterfly,Men,20180729,Peter Webster,Great Britain,Great Britain,24.60,24600,Elite
14373,Swimming,2018,50m Butterfly,Men,20180729,Alex Bowen,Great Britain,Great Britain,24.61,24610,Elite
14436,Swimming,2018,50m Butterfly,Men,20180302,Daniel Savage,Great Britain,Great Britain,24.73,24730,Elite
14456,Swimming,2018,50m Butterfly,Men,20180405,Miles Munro,Guernsey,Great Britain,24.76,24760,Elite
14457,Swimming,2018,50m Butterfly,Men,20180302,Lewis Burras,Great Britain,Great Britain,24.77,24770,Elite
14468,Swimming,2018,50m Butterfly,Men,20180729,Mats Crisp,Great Britain,Great Britain,24.78,24780,Elite
14534,Swimming,2018,50m Butterfly,Women,20180113,Harriet Jones,Wales,Great Britain,26.63,26630,Elite
14550,Swimming,2018,50m Butterfly,Women,20180407,Alys Thomas,Wales,Great Britain,26.72,26720,Elite
14570,Swimming,2018,50m Butterfly,Women,20180725,Emily Barclay,Great Britain,Great Britain,26.83,26830,Elite
14610,Swimming,2018,50m Butterfly,Women,20180725,Jasmine Mccrea,Great Britain,Great Britain,27.08,27080,Elite
14612,Swimming,2018,50m Butterfly,Women,20180725,Sophie Yendell,Great Britain,Great Britain,27.09,27090,Elite
14615,Swimming,2018,50m Butterfly,Women,20180526,Imogen Clark,Great Britain,Great Britain,27.10,27100,Elite
14624,Swimming,2018,50m Butterfly,Women,20180708,Freya Anderson,England,Great Britain,27.14,27140,Elite
14636,Swimming,2018,50m Butterfly,Women,20180407,Harriet West,Wales,Great Britain,27.17,27170,Elite
14638,Swimming,2018,50m Butterfly,Women,20180725,Keanna Macinnes,Scotland,Great Britain,27.17,27170,Elite
14645,Swimming,2018,50m Butterfly,Women,20180725,Laura Stephens,England,Great Britain,27.19,27190,Elite
14653,Swimming,2018,50m Butterfly,Women,20180629,Anna Hopkin,England,Great Britain,27.22,27220,Elite
14656,Swimming,2018,50m Butterfly,Women,20180303,Emily Horne,Great Britain,Great Britain,27.24,27240,Elite
14658,Swimming,2018,50m Butterfly,Women,20180127,Charlotte Atkinson,Isle of Man,Great Britain,27.24,27240,Elite
14680,Swimming,2018,50m Butterfly,Women,20180203,Holly Hibbott,England,Great Britain,27.32,27320,Elite
14681,Swimming,2018,50m Butterfly,Women,20180404,Tain Bruce,Great Britain,Great Britain,27.32,27320,Elite
14691,Swimming,2018,50m Butterfly,Women,20180725,Yasmin Perry,Great Britain,Great Britain,27.37,27370,Elite
14695,Swimming,2018,50m Butterfly,Women,20180725,Sophie Freeman,Great Britain,Great Britain,27.39,27390,Elite
14697,Swimming,2018,50m Butterfly,Women,20180725,Elena Morgan,Great Britain,Great Britain,27.39,27390,Elite
14762,Swimming,2018,50m Butterfly,Women,20180303,Emily Large,England,Great Britain,27.57,27570,Elite
14766,Swimming,2018,50m Butterfly,Women,20180725,Elinor Duley,Great Britain,Great Britain,27.58,27580,Elite
14772,Swimming,2018,50m Butterfly,Women,20180725,Elizabeth Harris,Great Britain,Great Britain,27.61,27610,Elite
14782,Swimming,2018,50m Butterfly,Women,20180303,Emily Haimes,Great Britain,Great Britain,27.63,27630,Elite
14794,Swimming,2018,50m Butterfly,Women,20180725,Alicia Wilson,Great Britain,Great Britain,27.67,27670,Elite
14795,Swimming,2018,50m Butterfly,Women,20180725,Emily Crane,Great Britain,Great Britain,27.67,27670,Elite
14796,Swimming,2018,50m Butterfly,Women,20180725,Pia Murray,Great Britain,Great Britain,27.67,27670,Elite
14810,Swimming,2018,50m Butterfly,Women,20180725,Kate Clifton,Great Britain,Great Britain,27.70,27700,Elite
14812,Swimming,2018,50m Butterfly,Women,20180113,Ciara Schlosshan,Great Britain,Great Britain,27.70,27700,Elite
14813,Swimming,2018,50m Butterfly,Women,20180725,Betsy Wizard,Great Britain,Great Britain,27.70,27700,Elite
14873,Swimming,2018,50m Butterfly,Women,20180526,Jessica Calderbank,Great Britain,Great Britain,27.84,27840,Elite
14904,Swimming,2018,50m Butterfly,Women,20180725,Maisie Elliott,Great Britain,Great Britain,27.88,27880,Elite
14923,Swimming,2018,50m Butterfly,Women,20180725,Rebecca De Torres,Great Britain,Great Britain,27.93,27930,Elite
14928,Swimming,2018,50m Butterfly,Women,20180725,Gaia Alcaras,Great Britain,Great Britain,27.94,27940,Elite
14935,Swimming,2018,50m Butterfly,Women,20180725,Ciara Standing,Great Britain,Great Britain,27.95,27950,Elite
14960,Swimming,2018,50m Butterfly,Women,20180725,Rosie Morgan,Great Britain,Great Britain,27.99,27990,Elite
14974,Swimming,2018,50m Freestyle,Men,20180808,Benjamin Proud,England,Great Britain,21.11,21110,Elite
14998,Swimming,2018,50m Freestyle,Men,20180410,David Cumberlidge,England,Great Britain,22.00,22000,Elite
15009,Swimming,2018,50m Freestyle,Men,20180409,Thomas Fannon,England,Great Britain,22.09,22090,Elite
15045,Swimming,2018,50m Freestyle,Men,20180408,Alex Bowen,Great Britain,Great Britain,22.35,22350,Elite
15067,Swimming,2018,50m Freestyle,Men,20180728,Jack Thorpe,Great Britain,Great Britain,22.45,22450,Elite
15087,Swimming,2018,50m Freestyle,Men,20180409,Scott Mclay,Scotland,Great Britain,22.55,22550,Elite
15129,Swimming,2018,50m Freestyle,Men,20180708,Lewis Burras,Great Britain,Great Britain,22.69,22690,Elite
15182,Swimming,2018,50m Freestyle,Men,20180408,Samuel Irvine,Great Britain,Great Britain,22.80,22800,Elite
15214,Swimming,2018,50m Freestyle,Men,20180708,Alex Wray,Great Britain,Great Britain,22.85,22850,Elite
15253,Swimming,2018,50m Freestyle,Men,20180728,Joe Page,United Arab Emirates,Great Britain,22.93,22930,Elite
15259,Swimming,2018,50m Freestyle,Men,20180409,Miles Munro,Guernsey,Great Britain,22.94,22940,Elite
15272,Swimming,2018,50m Freestyle,Men,20180409,Kieran McGuckin,Scotland,Great Britain,22.96,22960,Elite
15366,Swimming,2018,50m Freestyle,Men,20180728,Robert Cowley,Great Britain,Great Britain,23.11,23110,Elite
15390,Swimming,2018,50m Freestyle,Men,20180408,James Oxborrow,Great Britain,Great Britain,23.14,23140,Elite
15408,Swimming,2018,50m Freestyle,Men,20180324,Stephenson Lewis Clifford,Great Britain,Great Britain,23.17,23170,Elite
15409,Swimming,2018,50m Freestyle,Men,20180728,Dan Jones,Great Britain,Great Britain,23.17,23170,Elite
15419,Swimming,2018,50m Freestyle,Men,20180715,Yusuke Legard,Great Britain,Great Britain,23.18,23180,Elite
15490,Swimming,2018,50m Freestyle,Women,20181129,Anna Hopkin,England,Great Britain,24.93,24930,Elite
15494,Swimming,2018,50m Freestyle,Women,20180726,Emily Barclay,Great Britain,Great Britain,24.94,24940,Elite
15547,Swimming,2018,50m Freestyle,Women,20180707,Freya Anderson,England,Great Britain,25.35,25350,Elite
15618,Swimming,2018,50m Freestyle,Women,20180407,Katie Stark,Great Britain,Great Britain,25.65,25650,Elite
15632,Swimming,2018,50m Freestyle,Women,20180302,Lucy Hope,Great Britain,Great Britain,25.69,25690,Elite
15675,Swimming,2018,50m Freestyle,Women,20180407,Emily Crane,Great Britain,Great Britain,25.82,25820,Elite
15692,Swimming,2018,50m Freestyle,Women,20180726,Alicia Wilson,Great Britain,Great Britain,25.84,25840,Elite
15693,Swimming,2018,50m Freestyle,Women,20180726,Sophie Yendell,Great Britain,Great Britain,25.85,25850,Elite
15694,Swimming,2018,50m Freestyle,Women,20180302,Katie Latham,Great Britain,Great Britain,25.85,25850,Elite
15724,Swimming,2018,50m Freestyle,Women,20180407,Tain Bruce,Great Britain,Great Britain,25.92,25920,Elite
15731,Swimming,2018,50m Freestyle,Women,20180719,Freya Rayner,Great Britain,Great Britain,25.94,25940,Elite
15735,Swimming,2018,50m Freestyle,Women,20180726,Zoe Bozzard-Hill,Great Britain,Great Britain,25.94,25940,Elite
15736,Swimming,2018,50m Freestyle,Women,20180726,Jasmine Mccrea,Great Britain,Great Britain,25.94,25940,Elite
15744,Swimming,2018,50m Freestyle,Women,20180726,Kate Clifton,Great Britain,Great Britain,25.96,25960,Elite
15761,Swimming,2018,50m Freestyle,Women,20180406,Jessica Jackson,England,Great Britain,26.01,26010,Elite
15802,Swimming,2018,50m Freestyle,Women,20180609,Rachel-Louise Masson,Scotland,Great Britain,26.07,26070,Elite
15810,Swimming,2018,50m Freestyle,Women,20180726,Laura Mcnab,Great Britain,Great Britain,26.09,26090,Elite
15873,Swimming,2018,50m Freestyle,Women,20180726,Sophie Smith,Great Britain,Great Britain,26.20,26200,Elite
15900,Swimming,2018,50m Freestyle,Women,20180726,Macy Lawrence,Great Britain,Great Britain,26.25,26250,Elite
15909,Swimming,2018,50m Freestyle,Women,20180726,Tamryn Van Selm,Great Britain,Great Britain,26.27,26270,Elite
15942,Swimming,2018,50m Freestyle,Women,20180726,Anna Maine,England,Great Britain,26.34,26340,Elite
15951,Swimming,2018,50m Freestyle,Women,20180726,Elena Dewhurst,Great Britain,Great Britain,26.35,26350,Elite
15954,Swimming,2018,50m Freestyle,Women,20180726,Hannah Burvill,Great Britain,Great Britain,26.36,26360,Elite
16006,Swimming,2018,800m Freestyle,Men,20180303,Jay Lelliott,England,Great Britain,7:57.31,477310,Elite
16012,Swimming,2018,800m Freestyle,Men,20180807,Tom Derbyshire,Great Britain,Great Britain,7:58.26,478260,Elite
16041,Swimming,2018,800m Freestyle,Men,20180301,Daniel Jervis,Wales,Great Britain,8:01.56,481560,Elite
16078,Swimming,2018,800m Freestyle,Men,20180707,Nathan Hughes,Great Britain,Great Britain,8:05.15,485150,Elite
16112,Swimming,2018,800m Freestyle,Men,20180728,Luke Turley,Great Britain,Great Britain,8:07.61,487610,Elite
16129,Swimming,2018,800m Freestyle,Men,20180303,Stephen Milne,Scotland,Great Britain,8:08.67,488670,Elite
16136,Swimming,2018,800m Freestyle,Men,20180728,Samuel Budd,Great Britain,Great Britain,8:08.97,488970,Elite
16138,Swimming,2018,800m Freestyle,Men,20180728,Jakob Goodman,Great Britain,Great Britain,8:09.00,489000,Elite
16171,Swimming,2018,800m Freestyle,Men,20180728,William Bell,Great Britain,Great Britain,8:10.76,490760,Elite
16215,Swimming,2018,800m Freestyle,Men,20181128,Gordon Mason,Great Britain,Great Britain,8:12.87,492870,Elite
16266,Swimming,2018,800m Freestyle,Men,20180728,Samuel Osborne,Great Britain,Great Britain,8:15.33,495330,Elite
16297,Swimming,2018,800m Freestyle,Men,20180408,William Ryley,Great Britain,Great Britain,8:17.00,497000,Elite
16357,Swimming,2018,800m Freestyle,Men,20180728,Nathan Wells,Great Britain,Great Britain,8:19.66,499660,Elite
16365,Swimming,2018,800m Freestyle,Men,20180728,Charlie Poole,Great Britain,Great Britain,8:20.12,500120,Elite
16371,Swimming,2018,800m Freestyle,Men,20180813,Giuseppe Bogani,Great Britain,Great Britain,8:20.29,500290,Elite
16379,Swimming,2018,800m Freestyle,Men,20180728,Ryan Reader,Great Britain,Great Britain,8:20.54,500540,Elite
16395,Swimming,2018,800m Freestyle,Men,20180728,Hector Pardoe,Great Britain,Great Britain,8:21.17,501170,Elite
16401,Swimming,2018,800m Freestyle,Men,20180728,George Barber,Great Britain,Great Britain,8:21.56,501560,Elite
16411,Swimming,2018,800m Freestyle,Men,20180303,Max Murphy,Great Britain,Great Britain,8:22.19,502190,Elite
16417,Swimming,2018,800m Freestyle,Men,20180728,Jamie Scholes,Great Britain,Great Britain,8:22.45,502450,Elite
16435,Swimming,2018,800m Freestyle,Men,20180728,Myles Robinson-Young,Great Britain,Great Britain,8:23.31,503310,Elite
16472,Swimming,2018,800m Freestyle,Women,20180409,Holly Hibbott,England,Great Britain,8:29.05,509050,Elite
16484,Swimming,2018,800m Freestyle,Women,20180409,Camilla Hattersley,Scotland,Great Britain,8:32.65,512650,Elite
16506,Swimming,2018,800m Freestyle,Women,20180408,Jazmin Carlin,Wales,Great Britain,8:36.52,516520,Elite
16524,Swimming,2018,800m Freestyle,Women,20180725,Polly Holden,Great Britain,Great Britain,8:38.73,518730,Elite
16534,Swimming,2018,800m Freestyle,Women,20180408,Alice Dearing,England,Great Britain,8:40.63,520630,Elite
16567,Swimming,2018,800m Freestyle,Women,20180408,Ellena Jones,Wales,Great Britain,8:43.89,523890,Elite
16635,Swimming,2018,800m Freestyle,Women,20180408,Emily Clarke,Great Britain,Great Britain,8:48.42,528420,Elite
16641,Swimming,2018,800m Freestyle,Women,20180704,Leah Crisp,Great Britain,Great Britain,8:48.83,528830,Elite
16642,Swimming,2018,800m Freestyle,Women,20180725,Maisie Mccartney,Great Britain,Great Britain,8:48.86,528860,Elite
16689,Swimming,2018,800m Freestyle,Women,20180725,Georgia Darwent,Great Britain,Great Britain,8:51.12,531120,Elite
16695,Swimming,2018,800m Freestyle,Women,20180725,Alisha Hawkins,Great Britain,Great Britain,8:51.44,531440,Elite
16737,Swimming,2018,800m Freestyle,Women,20180323,Madeleine Crompton,Great Britain,Great Britain,8:53.48,533480,Elite
16757,Swimming,2018,800m Freestyle,Women,20180731,Elizabeth Boeckman,Great Britain,Great Britain,8:54.42,534420,Elite
16765,Swimming,2018,800m Freestyle,Women,20180725,Lola Davison,Great Britain,Great Britain,8:54.69,534690,Elite
16774,Swimming,2018,800m Freestyle,Women,20180614,Meg Finnon,Great Britain,Great Britain,8:54.93,534930,Elite
16780,Swimming,2018,800m Freestyle,Women,20180725,Nicole Ryan,Great Britain,Great Britain,8:55.16,535160,Elite
16797,Swimming,2018,800m Freestyle,Women,20180725,Mollie Wright,Great Britain,Great Britain,8:56.14,536140,Elite
16807,Swimming,2018,800m Freestyle,Women,20180725,Rachel Anderson,Great Britain,Great Britain,8:56.71,536710,Elite
16833,Swimming,2018,800m Freestyle,Women,20180725,Emilia Sansome,Great Britain,Great Britain,8:57.79,537790,Elite
16843,Swimming,2018,800m Freestyle,Women,20180426,Philippa O'Brien,Great Britain,Great Britain,8:58.13,538130,Elite
16857,Swimming,2018,800m Freestyle,Women,20180507,Michaella Glenister,Great Britain,Great Britain,8:58.75,538750,Elite
16873,Swimming,2018,800m Freestyle,Women,20180725,Freya Colbert,Great Britain,Great Britain,8:59.58,539580,Elite
16903,Swimming,2018,800m Freestyle,Women,20180302,Aisha Thornton,Great Britain,Great Britain,9:00.89,540890,Elite
16918,Swimming,2018,800m Freestyle,Women,20180323,Fleur Lewis,Great Britain,Great Britain,9:01.59,541590,Elite
16930,Swimming,2018,800m Freestyle,Women,20180507,Betsy Wizard,Great Britain,Great Britain,9:01.90,541900,Elite
16938,Swimming,2018,800m Freestyle,Women,20180331,Iona Macleod,Great Britain,Great Britain,9:02.12,542120,Elite
